ram_generation,brand,capacity_gb,bus_speed_mhz,unit_type,mpn,is_bulk_server,product_id
DDR4,Kingston,4.0,2666.0,Single,"KKN2NM-MIE, 9995704-007.A00G, PC4-2666-SC0-11, KKN2NM-MIES18287UGT1, 9995704-008.A00G, PC4-2666V-SC0-11",0,332
DDR4,Other,16.0,2666.0,Dual Kit,"CT16G4WFD8266-MB, CT16G4WFD8266",1,333
DDR4,Other,8.0,3200.0,Single,RAM-8GDR4K0-SO-3200-MB,0,334
DDR4,Unbranded,16.0,2400.0,Bulk,Unknown,0,335
DDR4,Major Brand,4.0,2400.0,Bulk,4 GB PC4-19200S,0,336
DDR4,Dell,16.0,2666.0,Single,Unknown,0,337
DDR4,SK Hynix,80.0,2400.0,Bulk,Unknown,0,338
DDR4,A-Tech,8.0,2666.0,Single,EB23-A18,0,339
DDR4,RigidRAM,16.0,2666.0,Bulk,Unknown,0,340
DDR4,MemoryBank,32.0,2666.0,Dual Kit,Unknown,0,341
DDR4,Major Brand,16.0,2133.0,Single,Does Not Apply,0,342
DDR4,Micron,8.0,2133.0,Bulk,762200-081,1,343
DDR5,Crucial,128.0,5600.0,Dual Kit,CT2K64G56C46S5,0,344
DDR5,G.Skill,96.0,6400.0,Dual Kit,F5-6400J3239F48GX2-TZ5RK,0,345
DDR4,A-Tech,16.0,2400.0,Single,EB70-I307,0,346
DDR4,Crucial,8.0,2666.0,Dual Kit,CT2K4G4SFS8266,0,347
DDR4,Micron,16.0,3200.0,Single,MTA8ATF2G64AZ-3G2F1,0,348
DDR4,Other,16.0,2666.0,Single,m471a2k43cb1-ctd,0,349
DDR4,SK Hynix,16.0,2400.0,Single,HMA82GS6AFR8N-UH,0,350
DDR4,PNY,16.0,3200.0,Single,MD16GSD43200-TB,0,351
