product_id,mpn
537,M321R2GA3BB6-CQK
537,M321R2GA3BB6-CQKMS
538,EB70-B6288
539,A9210967-ATC
539,A9210967
540,Unknown
541,EB57-A2501
542,Unknown
543,does not apply
544,Unknown
545,Unknown
546,T0H91AA-MB
547,AX42133S15Z/4G-MB
548,862690-091
549,EB70-B5013
550,EB70-B47
551,HMCG78AGBSA095N
552,EB57-A2462
553,4X77A77031
553,4X77A88051
553,4X77A81440
553,03LE882
554,901354
555,D8GB2133SOr2b8-MG019MPN
556,M391A2G43BB2CWEQ
557,EB70-B5011
558,Unknown
559,CT32G56C46U5
560,Unknown
561,MTA8ATF1G64AZ-2G3B1
562,Unknown
563,Unknown
564,CMK16GX4M2B3200C16
565,EB70-B6719
566,Unknown
567,EB57-A2483
568,Unknown
569,Unknown
570,Unknown
571,MTA16ATF2G64AZ-2G6E1
572,Unknown
573,Unknown
574,Unknown
575,Unknown
576,CT16G4SFD824A
577,Unknown
578,Unknown
579,5M30V06801
580,Unknown
581,HP16GB3200DTr2b8-MGSpecific1MPN
582,KSM32ED832HC
583,CMH32GX5M2B6400Z32
584,EB70-B768
585,HMA81GU6AFR8N-UH
586,Unknown
587,Unknown
588,M391A2K43BB1-CRC
589,CT16G4SFS8266
590,M471A1K43DB1-CTD
590,M471A1K43DB1CTD
591,EB59-A761
592,Unknown
593,Unknown
594,KSM26ES8/16ME
595,Unknown
596,SNP75X1VC/32G
597,HX421C14FBK2/8
598,Unknown
599,Unknown
600,HMA81GS6DJR8N-XN
601,AA2666D4DR8S16G
602,903948-001
603,KF556C40BB-8
604,Unknown
605,SNP1CXP8C/16G-ATC
605,SNP1CXP8C/16G
606,Unknown
607,EB57-A959
608,EB57-A2356
609,EB57-A2250
610,CT8G4SFD824A
611,EB59-A31500
612,Unknown
613,Unknown
614,Unknown
615,MTA4ATF51264HZ-2G3-ATC
615,MTA4ATF51264HZ-2G3
616,M324R2GA3BB0-CQK
617,Unknown
618,EB70-B1273
619,EB57-A4354
620,EB70-B5930
621,EB42-A261
622,4X71B67860
623,EB57-A113
624,EB59-A33726
625,EB70-B1153
626,EB70-B1059
627,EB57-A4613
628,EB42-A9081
629,EB70-B1225
630,EB70-B8144
631,CMH32GX5M2B6400C36
632,HMCG94AHBRA487N
633,Unknown
634,M393A2K43CB2CTD
635,Unknown
636,SNP7XRW4C/16G-MB
637,LE8GB2400ECr1b8-MGSpecific2aMPN
638,FN6XK
638,FN6XK-ATC
639,Unknown
640,AB371023-ATC
640,AB371023
641,SNPG00XJC/16G
642,SNPFN6XKC/8G A8058238-ATC
642,SNPFN6XKC/8G
643,Does not apply
644,EB70-I1291
645,HP8GB2133SOr1-HP640G2MPN
646,AT16G2D4D3200RS4N12V
647,KF560C30BBEAK2-32
648,Does Not Apply
649,EB59-A880
650,HMA41GS7AFR8N-TF-ATC
650,HMA41GS7AFR8N-TF
651,AC8GB2133SO-MG122MPN
652,EB59-A27609
653,LQ8GB2400DTr1b8-4X70M60572MPN
654,EB70-B6509
655,AC8GB2666DTr1b8-MGAC992MPN
656,AT8G16D4D2400RS4N12V
657,5LJ58AV
658,EB70-B497
659,AC8GB2666DTr1b8-MGAC957MPN
660,AQ8GB2400DTr1b8MPN
661,AC8GB2666DTr1b8-MGAC1033MPN
662,EB59-A35300
